,County,State,num_icu_be,irr2010,popOver60,deaths,Total Population,cluster
463,Kenton,Kentucky,46.0,0.31,31245,38,163987,1
464,Knox,Kentucky,6.0,0.51,7187,7,31424,1
465,Laurel,Kentucky,14.0,0.47,12999,4,59901,1
466,Lawrence,Kentucky,6.0,0.53,3685,0,15844,1
467,Letcher,Kentucky,6.0,0.53,5498,0,23011,1
468,Logan,Kentucky,6.0,0.51,6256,16,26847,1
469,McCracken,Kentucky,34.0,0.43,16639,3,65285,1
470,Madison,Kentucky,12.0,0.45,16155,1,88376,1
471,Marion,Kentucky,6.0,0.52,4112,0,19335,1
472,Marshall,Kentucky,4.0,0.51,8929,2,31177,1
473,Mason,Kentucky,5.0,0.52,4041,1,17167,1
474,Mercer,Kentucky,4.0,0.51,5365,0,21378,1
475,Montgomery,Kentucky,4.0,0.49,5851,0,27550,1
476,Muhlenberg,Kentucky,6.0,0.5,7703,9,31153,1
477,Nelson,Kentucky,4.0,0.48,9073,2,45131,1
478,Ohio,Kentucky,4.0,0.52,5824,1,24062,1
479,Oldham,Kentucky,8.0,0.39,11255,7,64633,1
480,Perry,Kentucky,32.0,0.52,6143,2,27329,1
481,Pike,Kentucky,76.0,0.5,14290,3,61586,1
482,Pulaski,Kentucky,38.0,0.48,15846,2,63974,1
483,Rowan,Kentucky,14.0,0.51,4411,0,24392,1
484,Russell,Kentucky,2.0,0.53,4680,5,17731,1
485,Scott,Kentucky,6.0,0.47,8436,0,52322,1
486,Shelby,Kentucky,4.0,0.48,9425,20,45831,1
487,Taylor,Kentucky,8.0,0.5,5890,1,25406,1
488,Warren,Kentucky,32.0,0.43,21484,18,123824,1
489,Androscoggin,Maine,34.0,0.43,24289,4,107317,1
490,Aroostook,Maine,12.0,0.54,20453,1,68840,1
491,Cumberland,Maine,50.0,0.39,68027,67,289173,1
492,Franklin,Maine,5.0,0.54,8571,1,30177,1
493,Hancock,Maine,6.0,0.52,16940,1,54468,1
494,Kennebec,Maine,16.0,0.46,31337,10,121289,1
495,Knox,Maine,8.0,0.49,12268,1,39700,1
496,Lincoln,Maine,4.0,0.51,11973,0,34021,1
497,Oxford,Maine,4.0,0.52,16027,0,57230,1
498,Penobscot,Maine,51.0,0.47,36356,4,152284,1
499,Somerset,Maine,4.0,0.54,13707,0,50994,1
500,Waldo,Maine,4.0,0.51,11094,14,39280,1
501,York,Maine,14.0,0.43,52544,11,201454,1
502,Allegany,Maryland,14.0,0.45,18311,18,72591,1
503,Anne Arundel,Maryland,50.0,0.24,111090,211,564600,0
504,Calvert,Maryland,4.0,0.39,18153,27,90824,1
505,Carroll,Maryland,12.0,0.4,36730,116,167319,1
506,Cecil,Maryland,5.0,0.41,21069,29,102416,1
507,Charles,Maryland,10.0,0.41,26064,90,156021,1
508,Frederick,Maryland,18.0,0.4,46881,120,246105,1
509,Garrett,Maryland,2.0,0.52,8442,0,29516,1
510,Harford,Maryland,19.0,0.36,53295,66,250132,1
511,Howard,Maryland,16.0,0.28,57302,97,312495,1
512,Kent,Maryland,6.0,0.51,6220,23,19666,1
513,Montgomery,Maryland,143.0,0.23,209461,763,1039198,0
514,Prince George's,Maryland,78.0,0.22,159437,719,905161,0
515,St. Mary's,Maryland,12.0,0.41,18983,51,110979,1
516,Talbot,Maryland,16.0,0.48,12868,4,37461,1
517,Washington,Maryland,17.0,0.41,33148,29,149546,1
518,Wicomico,Maryland,24.0,0.42,21277,42,102014,1
519,Worcester,Maryland,6.0,0.47,17655,18,51559,1
520,Barnstable,Massachusetts,21.0,0.27,80676,152,213900,1
521,Berkshire,Massachusetts,24.0,0.44,37339,45,127751,1
522,Bristol,Massachusetts,96.0,0.26,124173,603,557016,0
523,Essex,Massachusetts,98.0,0.21,173485,1136,775860,0
524,Franklin,Massachusetts,6.0,0.47,19773,58,70926,1
525,Hampden,Massachusetts,83.0,0.32,103567,680,469188,0
526,Hampshire,Massachusetts,11.0,0.4,34945,119,161197,1
527,Middlesex,Massachusetts,206.0,0.18,319971,1934,1582857,2
528,Norfolk,Massachusetts,59.0,0.16,155147,962,694389,0
529,Plymouth,Massachusetts,47.0,0.27,119899,688,509114,0
530,Suffolk,Massachusetts,453.0,0.09,125537,1027,780685,0
531,Worcester,Massachusetts,119.0,0.33,170081,968,818249,0
532,Alpena,Michigan,9.0,0.53,8520,13,28730,1
533,Arenac,Michigan,5.0,0.53,4939,2,15238,1
534,Bay,Michigan,32.0,0.43,27300,31,105350,1
535,Berrien,Michigan,20.0,0.4,39067,61,154948,1
536,Branch,Michigan,10.0,0.49,10379,25,43543,1
537,Calhoun,Michigan,32.0,0.43,31227,39,134327,1
538,Chippewa,Michigan,6.0,0.56,8659,0,38023,1
539,Clinton,Michigan,2.0,0.46,16938,12,77321,1
540,Crawford,Michigan,6.0,0.55,4436,5,13821,1
541,Delta,Michigan,9.0,0.53,10991,3,36395,1
542,Dickinson,Michigan,6.0,0.54,7463,2,25694,1
543,Emmet,Michigan,18.0,0.53,9255,2,32978,1
544,Genesee,Michigan,109.0,0.31,93094,292,410881,0
545,Gogebic,Michigan,5.0,0.57,5016,1,15577,1
546,Grand Traverse,Michigan,20.0,0.46,23009,5,91222,1
547,Hillsdale,Michigan,4.0,0.49,11598,25,45909,1
548,Houghton,Michigan,5.0,0.54,8122,0,36333,1
549,Huron,Michigan,4.0,0.52,10169,3,31750,1
550,Ingham,Michigan,115.0,0.37,51447,29,286185,1
551,Ionia,Michigan,2.0,0.48,12876,5,64147,1
552,Iosco,Michigan,4.0,0.52,9417,11,25317,1
553,Iron,Michigan,3.0,0.59,4274,1,11291,1
554,Isabella,Michigan,8.0,0.47,11665,8,70572,1
555,Jackson,Michigan,34.0,0.42,36118,54,158989,1
556,Kalamazoo,Michigan,70.0,0.37,51450,72,259830,1
557,Kent,Michigan,142.0,0.32,115828,145,636376,0
558,Lapeer,Michigan,10.0,0.47,20857,39,88205,1
559,Livingston,Michigan,8.0,0.39,41663,29,186946,1
560,Macomb,Michigan,122.0,0.23,192977,937,864019,0
561,Marquette,Michigan,26.0,0.53,16470,11,67145,1
562,Mason,Michigan,6.0,0.52,8675,0,28800,1
563,Mecosta,Michigan,4.0,0.5,10289,2,43181,1
564,Midland,Michigan,26.0,0.45,19242,9,83489,1
565,Montcalm,Michigan,12.0,0.49,14301,1,62956,1
566,Muskegon,Michigan,44.0,0.39,37993,54,172707,1
567,Newaygo,Michigan,9.0,0.5,12202,0,47899,1
568,Oakland,Michigan,369.0,0.21,273867,1113,1241860,0
569,Osceola,Michigan,4.0,0.53,6243,0,23221,1
570,Otsego,Michigan,4.0,0.53,6554,10,24247,1
571,Ottawa,Michigan,22.0,0.37,54457,53,280243,1
572,Saginaw,Michigan,46.0,0.41,47390,125,193803,1
573,St. Clair,Michigan,23.0,0.43,38914,53,159761,1
574,St. Joseph,Michigan,4.0,0.47,14461,5,60890,1
575,Shiawassee,Michigan,7.0,0.47,16363,28,68617,1
576,Washtenaw,Michigan,46.0,0.37,65781,119,361509,1
577,Wayne,Michigan,411.0,0.12,362535,2772,1763822,2
578,Wexford,Michigan,20.0,0.52,8300,4,32915,1
579,Aitkin,Minnesota,4.0,0.57,6467,0,15841,1
580,Anoka,Minnesota,35.0,0.31,63313,108,344861,1
581,Becker,Minnesota,8.0,0.53,9157,0,33552,1
582,Beltrami,Minnesota,10.0,0.54,9482,0,45847,1
583,Blue Earth,Minnesota,29.0,0.47,12070,2,65767,1
584,Carlton,Minnesota,2.0,0.52,8198,0,35408,1
585,Carver,Minnesota,18.0,0.43,15454,2,98799,1
586,Chisago,Minnesota,10.0,0.47,10806,1,54297,1
587,Crow Wing,Minnesota,16.0,0.5,17980,12,63505,1
588,Dakota,Minnesota,12.0,0.33,76445,99,414655,0
589,Douglas,Minnesota,8.0,0.51,10617,0,36891,1
590,Faribault,Minnesota,4.0,0.55,4173,0,13966,1
591,Freeborn,Minnesota,18.0,0.52,8707,1,30619,1
592,Goodhue,Minnesota,4.0,0.5,11621,8,46138,1
593,Hennepin,Minnesota,215.0,0.2,229263,794,1224763,0
594,Kanabec,Minnesota,4.0,0.54,4382,1,15948,1
595,Kandiyohi,Minnesota,8.0,0.51,10445,1,42577,1
596,McLeod,Minnesota,6.0,0.5,8587,0,35816,1
597,Olmsted,Minnesota,218.0,0.43,29861,20,151685,1
598,Otter Tail,Minnesota,5.0,0.52,17615,1,57790,1
599,Polk,Minnesota,5.0,0.53,7554,3,31564,1
600,Ramsey,Minnesota,115.0,0.13,102817,246,537893,0
601,St. Louis,Minnesota,78.0,0.47,50288,16,200294,1
602,Stearns,Minnesota,42.0,0.45,30193,19,155300,1
603,Todd,Minnesota,3.0,0.53,6859,2,24423,1
604,Wadena,Minnesota,2.0,0.55,3789,0,13626,1
605,Washington,Minnesota,31.0,0.35,49212,40,250979,1
606,Winona,Minnesota,8.0,0.49,10914,16,50992,1
607,Wright,Minnesota,3.0,0.43,22152,4,131130,1
608,Adams,Mississippi,15.0,0.51,7493,21,31583,1
609,Alcorn,Mississippi,24.0,0.5,8512,2,37242,1
610,Bolivar,Mississippi,8.0,0.53,6690,18,33121,1
611,Clay,Mississippi,6.0,0.53,4730,12,19990,1
612,Coahoma,Mississippi,10.0,0.52,4799,6,24296,1
613,DeSoto,Mississippi,8.0,0.39,29708,20,173267,1
614,Forrest,Mississippi,40.0,0.45,13870,45,75835,1
615,George,Mississippi,6.0,0.52,4774,3,23545,1
616,Hancock,Mississippi,6.0,0.48,11941,14,46277,1
617,Harrison,Mississippi,57.0,0.39,38987,17,200491,1
618,Hinds,Mississippi,149.0,0.4,44090,63,243249,1
619,Jackson,Mississippi,48.0,0.43,28610,20,141314,1
620,Jones,Mississippi,14.0,0.48,14853,52,68328,1
621,Lafayette,Mississippi,24.0,0.5,8639,4,52744,1
622,Lamar,Mississippi,17.0,0.46,10854,7,60517,1
623,Lauderdale,Mississippi,39.0,0.48,17686,83,78221,1
624,Lee,Mississippi,24.0,0.45,16183,23,84840,1
625,Leflore,Mississippi,9.0,0.52,5674,56,30113,1
626,Lincoln,Mississippi,5.0,0.51,7781,36,34542,1
627,Lowndes,Mississippi,18.0,0.48,12035,17,59558,1
628,Madison,Mississippi,7.0,0.45,18766,42,102212,1
629,Marion,Mississippi,6.0,0.51,5805,12,25466,1
630,Monroe,Mississippi,9.0,0.52,9309,40,35967,1
631,Oktibbeha,Mississippi,6.0,0.49,7290,28,49392,1
632,Pearl River,Mississippi,6.0,0.49,13434,32,55049,1
633,Pike,Mississippi,16.0,0.49,8664,24,39763,1
634,Rankin,Mississippi,18.0,0.42,29151,20,149645,1
635,Union,Mississippi,8.0,0.52,6249,11,28202,1
636,Warren,Mississippi,22.0,0.48,10588,22,47510,1
637,Washington,Mississippi,22.0,0.5,9825,16,48002,1
638,Wayne,Mississippi,6.0,0.54,4447,20,20458,1
639,Adair,Missouri,10.0,0.53,4911,0,25437,1
640,Barton,Missouri,4.0,0.55,3000,0,11942,1
641,Boone,Missouri,114.0,0.42,28350,3,174589,1
642,Buchanan,Missouri,21.0,0.43,18624,6,89425,1
643,Butler,Missouri,14.0,0.51,10394,0,42826,1
644,Camden,Missouri,18.0,0.5,15571,2,44855,1
645,Cape Girardeau,Missouri,31.0,0.46,16826,3,78013,1
646,Cass,Missouri,9.0,0.45,22296,9,101888,1
647,Clay,Missouri,34.0,0.36,44493,20,236068,1
648,Clinton,Missouri,5.0,0.52,4743,0,20495,1
649,Cole,Missouri,25.0,0.44,16261,2,76749,1
650,Franklin,Missouri,13.0,0.47,22817,18,102413,1
651,Greene,Missouri,129.0,0.38,60988,9,286759,1
652,Henry,Missouri,8.0,0.53,5958,3,21834,1
653,Howell,Missouri,12.0,0.52,9866,0,40139,1
654,Jackson,Missouri,279.0,0.27,136794,46,688554,0
655,Jefferson,Missouri,28.0,0.39,44346,25,222639,1
656,Laclede,Missouri,4.0,0.51,8182,1,35488,1
657,Lafayette,Missouri,2.0,0.51,8174,2,32655,1
658,Lincoln,Missouri,4.0,0.49,9951,1,54800,1
659,Marion,Missouri,8.0,0.52,6636,0,28703,1
660,Pemiscot,Missouri,7.0,0.54,3691,6,17344,1
661,Pettis,Missouri,9.0,0.5,9293,2,42309,1
662,Phelps,Missouri,18.0,0.5,9354,0,44873,1
663,Polk,Missouri,8.0,0.51,7355,0,31347,1
664,Randolph,Missouri,8.0,0.51,5586,0,24987,1
665,St. Charles,Missouri,39.0,0.34,74900,80,385115,1
666,St. Francois,Missouri,10.0,0.47,14643,2,66248,1
667,Saline,Missouri,7.0,0.53,5380,5,23010,1
668,Scott,Missouri,12.0,0.49,9126,13,38858,1
669,Stoddard,Missouri,4.0,0.52,7527,9,29634,1
670,Taney,Missouri,18.0,0.48,14724,3,54308,1
671,Texas,Missouri,4.0,0.54,6773,0,25714,1
672,Vernon,Missouri,6.0,0.54,5056,0,20665,1
673,Cascade,Montana,20.0,0.49,19330,2,81816,1
674,Custer,Montana,4.0,0.61,3032,0,11895,1
675,Dawson,Montana,3.0,0.62,2324,0,9324,1
676,Flathead,Montana,22.0,0.53,24545,2,96147,1
677,Gallatin,Montana,8.0,0.52,17127,1,100733,1
678,Hill,Montana,6.0,0.59,3176,0,16468,1
679,Lewis and Clark,Montana,8.0,0.52,16327,0,66290,1
680,Missoula,Montana,32.0,0.48,22759,1,114231,1
681,Park,Montana,4.0,0.59,4577,0,16001,1
682,Ravalli,Montana,5.0,0.53,13513,1,41387,1
683,Rosebud,Montana,1.0,0.61,1891,1,9292,1
684,Silver Bow,Montana,11.0,0.53,8536,0,34514,1
685,Yellowstone,Montana,41.0,0.47,34804,14,156332,1
686,Adams,Nebraska,10.0,0.51,7465,11,31564,1
687,Buffalo,Nebraska,34.0,0.51,9288,1,48834,1
688,Cheyenne,Nebraska,4.0,0.59,2396,0,10012,1
689,Douglas,Nebraska,234.0,0.25,95539,113,549706,0
690,Gage,Nebraska,3.0,0.53,5923,4,21632,1
691,Hall,Nebraska,16.0,0.47,11885,47,61233,1
692,Lancaster,Nebraska,52.0,0.4,55100,13,306357,1
693,Lincoln,Nebraska,19.0,0.55,8746,2,35569,1
694,Madison,Nebraska,24.0,0.51,7213,4,35062,1
695,Platte,Nebraska,5.0,0.52,7783,3,32875,1
696,Sarpy,Nebraska,8.0,0.35,26946,8,175188,1
697,Scotts Bluff,Nebraska,22.0,0.52,9022,5,36509,1
698,Clark,Nevada,452.0,0.38,405618,507,2112436,2
699,Elko,Nevada,7.0,0.58,8008,1,52377,1
700,Humboldt,Nevada,3.0,0.62,3163,4,17088,1
701,Washoe,Nevada,290.0,0.44,95558,101,445551,0
702,Carson City,Nevada,24.0,0.42,14410,6,54219,1
703,Belknap,New Hampshire,10.0,0.47,17260,3,60383,1
704,Carroll,New Hampshire,8.0,0.51,16281,0,47524,1
705,Cheshire,New Hampshire,27.0,0.47,19389,2,76109,1
706,Coos,New Hampshire,3.0,0.54,9795,0,32119,1
707,Grafton,New Hampshire,52.0,0.5,23734,1,89280,1
708,Hillsborough,New Hampshire,62.0,0.36,84563,263,406371,0
709,Merrimack,New Hampshire,18.0,0.45,34833,20,147958,1
710,Rockingham,New Hampshire,43.0,0.33,69798,92,302479,1
711,Strafford,New Hampshire,17.0,0.41,25034,13,126552,1
712,Atlantic,New Jersey,54.0,0.37,62613,236,272926,1
713,Bergen,New Jersey,112.0,0.12,211672,2030,937920,0
714,Burlington,New Jersey,82.0,0.34,98530,456,449192,0
715,Camden,New Jersey,166.0,0.2,104370,558,510996,0
716,Cape May,New Jersey,16.0,0.39,31925,80,94549,1
717,Cumberland,New Jersey,12.0,0.4,30141,153,154952,1
718,Essex,New Jersey,215.0,0.11,146732,2089,800401,0
719,Gloucester,New Jersey,14.0,0.28,60833,196,291372,1
720,Hudson,New Jersey,89.0,0.09,109974,1497,679756,0
721,Hunterdon,New Jersey,12.0,0.41,30279,126,125717,1
722,Mercer,New Jersey,80.0,0.24,75299,604,373362,1
723,Middlesex,New Jersey,97.0,0.16,164627,1397,837288,0
724,Monmouth,New Jersey,128.0,0.22,142622,846,627551,0
725,Morris,New Jersey,81.0,0.25,110520,826,498847,0
726,Ocean,New Jersey,94.0,0.29,167321,1001,589699,0
727,Passaic,New Jersey,53.0,0.25,98279,1232,510563,0
728,Salem,New Jersey,19.0,0.45,15640,79,63776,1
729,Somerset,New Jersey,28.0,0.25,67698,552,333316,1
730,Sussex,New Jersey,10.0,0.41,32694,195,143570,1
731,Union,New Jersey,55.0,0.11,106249,1341,557320,0
732,Warren,New Jersey,20.0,0.42,24579,171,107088,1
733,Bernalillo,New Mexico,117.0,0.35,140933,99,674855,0
734,Chaves,New Mexico,24.0,0.55,13924,3,65454,1
735,Cibola,New Mexico,4.0,0.57,5804,15,27049,1
736,Colfax,New Mexico,4.0,0.6,4281,1,12522,1
737,Curry,New Mexico,8.0,0.52,8363,1,50283,1
738,Eddy,New Mexico,12.0,0.55,11808,1,56793,1
739,Grant,New Mexico,6.0,0.57,9026,0,28382,1
740,Lea,New Mexico,8.0,0.54,10775,0,69505,1
741,Lincoln,New Mexico,4.0,0.59,6880,0,19497,1
742,Los Alamos,New Mexico,6.0,0.48,4309,0,18031,1
743,Luna,New Mexico,6.0,0.56,6445,3,24319,1
744,McKinley,New Mexico,5.0,0.53,11923,196,72849,1
745,Otero,New Mexico,10.0,0.55,14360,9,65130,1
746,Rio Arriba,New Mexico,8.0,0.55,9932,1,39455,1
747,San Juan,New Mexico,10.0,0.49,23922,175,128221,1
748,San Miguel,New Mexico,8.0,0.56,7333,0,28203,1
749,Santa Fe,New Mexico,24.0,0.46,42681,3,147514,1
750,Taos,New Mexico,6.0,0.55,10333,1,32809,1
751,Albany,New York,81.0,0.35,67673,161,308580,1
752,Allegany,New York,6.0,0.51,11338,0,47400,1
753,Broome,New York,47.0,0.41,47891,68,196124,1
754,Chautauqua,New York,26.0,0.46,33458,4,130846,1
755,Chemung,New York,20.0,0.44,21007,5,86883,1
756,Chenango,New York,7.0,0.5,12688,3,48763,1
757,Clinton,New York,21.0,0.48,17868,4,81224,1
758,Columbia,New York,9.0,0.48,18429,43,61481,1
759,Cortland,New York,12.0,0.48,10162,0,48334,1
760,Dutchess,New York,27.0,0.37,66971,160,295685,1
761,Erie,New York,190.0,0.3,216391,607,923995,0
762,Franklin,New York,13.0,0.52,11559,0,51054,1
763,Fulton,New York,8.0,0.48,13782,18,53955,1
764,Genesee,New York,10.0,0.48,13935,6,58537,1
765,Jefferson,New York,10.0,0.46,19760,0,116567,1
766,Lewis,New York,6.0,0.53,6305,0,26845,1
767,Madison,New York,6.0,0.47,16941,6,71760,1
768,Monroe,New York,154.0,0.27,166403,264,748680,0
769,Montgomery,New York,8.0,0.48,11948,5,49500,1
770,Nassau,New York,235.0,0.12,318040,2704,1363069,0
771,Niagara,New York,32.0,0.38,52917,67,212675,1
772,Oneida,New York,26.0,0.42,56184,104,232324,1
773,Onondaga,New York,118.0,0.34,103054,180,467669,0
774,Ontario,New York,27.0,0.44,27978,26,109491,1
775,Orange,New York,76.0,0.36,70347,403,378174,1
776,Oswego,New York,8.0,0.46,25826,0,119833,1
777,Otsego,New York,14.0,0.5,16165,6,60750,1
778,Putnam,New York,10.0,0.36,22683,61,99464,1
779,Rensselaer,New York,24.0,0.42,35905,38,159800,1
780,St. Lawrence,New York,20.0,0.5,24432,4,110817,1
781,Schenectady,New York,36.0,0.35,34957,34,155239,1
782,Steuben,New York,8.0,0.48,24270,19,97539,1
783,Suffolk,New York,250.0,0.2,326104,2039,1497595,2
784,Tompkins,New York,16.0,0.44,18998,2,104415,1
785,Ulster,New York,25.0,0.43,45203,49,180129,1
786,Warren,New York,24.0,0.48,17940,31,64701,1
787,Wayne,New York,8.0,0.46,22194,1,91442,1
788,Westchester,New York,158.0,0.2,214443,1568,975321,0
789,Wyoming,New York,5.0,0.5,9523,3,40886,1
790,Alamance,North Carolina,20.0,0.39,35388,37,157844,1
791,Beaufort,North Carolina,8.0,0.5,14046,0,47316,1
792,Bladen,North Carolina,4.0,0.52,9534,5,34130,1
793,Brunswick,North Carolina,19.0,0.44,46285,13,122586,1
794,Buncombe,North Carolina,146.0,0.37,64710,50,252268,1
795,Burke,North Carolina,16.0,0.43,23258,21,88898,1
796,Cabarrus,North Carolina,15.0,0.36,35521,33,196716,1
797,Caldwell,North Carolina,12.0,0.43,20816,6,81805,1
798,Carteret,North Carolina,8.0,0.46,21116,4,68699,1
799,Catawba,North Carolina,52.0,0.36,35455,14,156182,1
800,Chatham,North Carolina,4.0,0.47,20511,46,68364,1
801,Chowan,North Carolina,4.0,0.52,4452,0,14370,1
802,Cleveland,North Carolina,57.0,0.44,23687,9,97038,1
803,Craven,North Carolina,72.0,0.44,24450,8,103374,1
804,Cumberland,North Carolina,56.0,0.35,52166,43,332766,1
805,Davidson,North Carolina,29.0,0.4,37797,16,164118,1
806,Duplin,North Carolina,9.0,0.49,13785,33,59350,1
807,Durham,North Carolina,70.0,0.29,51648,72,300865,1
808,Edgecombe,North Carolina,15.0,0.47,13212,9,54032,1
809,Forsyth,North Carolina,180.0,0.26,76042,40,368362,1
810,Gaston,North Carolina,57.0,0.33,46215,17,214049,1
811,Granville,North Carolina,6.0,0.47,13167,25,58503,1
812,Guilford,North Carolina,107.0,0.3,102558,131,517197,0
813,Halifax,North Carolina,16.0,0.49,13866,4,52300,1
814,Harnett,North Carolina,14.0,0.44,21027,32,128753,1
815,Haywood,North Carolina,12.0,0.47,18819,0,59854,1
816,Henderson,North Carolina,27.0,0.39,35451,51,112156,1
817,Hertford,North Carolina,10.0,0.51,6311,11,24262,1
818,Iredell,North Carolina,36.0,0.4,34692,10,169798,1
819,Jackson,North Carolina,9.0,0.5,10654,3,41725,1
820,Johnston,North Carolina,24.0,0.42,33619,38,186308,1
821,Lee,North Carolina,8.0,0.44,12481,8,59805,1
822,Lincoln,North Carolina,10.0,0.42,18644,2,80504,1
823,McDowell,North Carolina,9.0,0.48,11491,2,45069,1
824,Macon,North Carolina,5.0,0.51,12106,1,34160,1
825,Martin,North Carolina,6.0,0.52,6835,6,23227,1
826,Mecklenburg,North Carolina,141.0,0.15,156489,174,1034290,0
827,Nash,North Carolina,21.0,0.44,22363,6,94125,1
828,New Hanover,North Carolina,29.0,0.27,48907,8,219866,1
829,Onslow,North Carolina,14.0,0.41,22983,5,192685,1
830,Pasquotank,North Carolina,10.0,0.47,8584,17,39546,1
831,Person,North Carolina,6.0,0.49,9982,1,39240,1
832,Pitt,North Carolina,71.0,0.41,30269,6,176484,1
833,Polk,North Carolina,6.0,0.51,7657,5,20434,1
834,Randolph,North Carolina,12.0,0.44,32782,33,142827,1
835,Robeson,North Carolina,25.0,0.45,26448,46,134187,1
836,Rockingham,North Carolina,9.0,0.45,24175,2,91566,1
837,Rowan,North Carolina,20.0,0.41,31195,45,138940,1
838,Rutherford,North Carolina,18.0,0.47,18012,11,66523,1
839,Sampson,North Carolina,8.0,0.49,14291,8,63664,1
840,Scotland,North Carolina,8.0,0.48,8246,2,35445,1
841,Stanly,North Carolina,10.0,0.47,14861,5,60875,1
842,Surry,North Carolina,10.0,0.46,18749,3,72315,1
843,Transylvania,North Carolina,4.0,0.49,12332,1,33291,1
844,Union,North Carolina,14.0,0.38,36152,30,222095,1
845,Vance,North Carolina,20.0,0.47,10563,40,44420,1
846,Wake,North Carolina,117.0,0.24,157546,86,1023811,0
847,Watauga,North Carolina,10.0,0.47,11059,0,53421,1
848,Wayne,North Carolina,16.0,0.43,26321,34,124496,1
849,Wilkes,North Carolina,8.0,0.48,18236,7,68525,1
850,Wilson,North Carolina,14.0,0.45,19331,27,81379,1
851,Burleigh,North Dakota,52.0,0.48,18957,0,92372,1
852,Cass,North Dakota,111.0,0.46,27710,73,170620,1
853,Grand Forks,North Dakota,16.0,0.49,11680,4,70130,1
854,Stark,North Dakota,4.0,0.54,5319,3,30316,1
855,Stutsman,North Dakota,6.0,0.56,5310,2,21058,1
856,Ward,North Dakota,19.0,0.52,11458,1,69628,1
857,Allen,Ohio,34.0,0.42,24080,41,104157,1
858,Ashland,Ohio,6.0,0.48,12790,3,53299,1
859,Ashtabula,Ohio,19.0,0.45,25127,44,98622,1
860,Auglaize,Ohio,6.0,0.48,10738,4,45778,1
861,Butler,Ohio,56.0,0.31,73222,48,375702,1
862,Clark,Ohio,38.0,0.4,33970,11,135520,1
863,Clermont,Ohio,16.0,0.37,43133,7,202166,1
864,Clinton,Ohio,6.0,0.49,9347,2,41869,1
865,Columbiana,Ohio,20.0,0.44,27542,60,104584,1
866,Coshocton,Ohio,7.0,0.51,9240,4,36602,1
867,Crawford,Ohio,9.0,0.48,11322,5,42231,1
868,Cuyahoga,Ohio,397.0,0.13,297844,406,1257401,0
869,Darke,Ohio,6.0,0.49,13217,26,51919,1
870,Defiance,Ohio,8.0,0.49,9084,3,38311,1
871,Delaware,Ohio,6.0,0.39,34052,15,193024,1
872,Erie,Ohio,18.0,0.43,20550,22,75369,1
873,Fairfield,Ohio,20.0,0.42,31843,17,151526,1
874,Franklin,Ohio,368.0,0.18,205767,456,1253507,0
875,Fulton,Ohio,7.0,0.48,9768,0,42296,1
876,Gallia,Ohio,14.0,0.51,7248,1,30203,1
877,Geauga,Ohio,12.0,0.43,23672,42,93895,1
878,Greene,Ohio,20.0,0.39,36821,9,164825,1
879,Guernsey,Ohio,11.0,0.5,10004,4,39414,1
880,Hamilton,Ohio,232.0,0.18,169087,211,808703,0
881,Hancock,Ohio,4.0,0.46,16816,1,75508,1
882,Henry,Ohio,5.0,0.51,6575,0,27463,1
883,Holmes,Ohio,4.0,0.49,7689,5,43808,1
884,Huron,Ohio,12.0,0.48,13292,3,58497,1
885,Jefferson,Ohio,12.0,0.45,18775,2,67349,1
886,Knox,Ohio,12.0,0.48,14197,1,60945,1
887,Lake,Ohio,27.0,0.27,58488,23,229701,1
888,Licking,Ohio,13.0,0.42,36737,14,170678,1
889,Lorain,Ohio,54.0,0.33,71677,71,305405,1
890,Lucas,Ohio,158.0,0.27,92861,306,433404,0
891,Madison,Ohio,13.0,0.49,8744,9,43732,1
892,Mahoning,Ohio,38.0,0.35,62316,240,231857,1
893,Marion,Ohio,15.0,0.46,15039,39,65483,1
894,Medina,Ohio,12.0,0.39,40244,32,176362,1
895,Mercer,Ohio,5.0,0.5,9546,11,40723,1
896,Miami,Ohio,10.0,0.43,25472,31,104081,1
897,Montgomery,Ohio,208.0,0.26,124285,42,531987,0
898,Morrow,Ohio,3.0,0.5,8133,1,34935,1
899,Muskingum,Ohio,24.0,0.47,20112,1,85933,1
900,Ottawa,Ohio,4.0,0.47,12744,24,40769,1
901,Pickaway,Ohio,8.0,0.48,11657,42,57075,1
902,Portage,Ohio,16.0,0.39,34412,59,162080,1
903,Richland,Ohio,37.0,0.42,30674,7,121533,1
904,Ross,Ohio,12.0,0.48,16764,3,77125,1
905,Sandusky,Ohio,18.0,0.47,14131,15,59559,1
906,Scioto,Ohio,16.0,0.47,17977,0,76871,1
907,Seneca,Ohio,5.0,0.48,13111,2,55549,1
908,Shelby,Ohio,7.0,0.48,10525,4,48902,1
909,Stark,Ohio,68.0,0.32,94437,117,374273,1
910,Summit,Ohio,145.0,0.21,126698,211,541318,0
911,Trumbull,Ohio,42.0,0.39,55450,80,203341,1
912,Tuscarawas,Ohio,10.0,0.46,23202,11,92531,1
913,Union,Ohio,7.0,0.48,8714,1,54688,1
914,Van Wert,Ohio,5.0,0.5,6946,1,28262,1
915,Warren,Ohio,16.0,0.35,42520,27,223868,1
916,Washington,Ohio,11.0,0.48,16090,20,60871,1
917,Wayne,Ohio,14.0,0.44,26488,56,115915,1
918,Williams,Ohio,7.0,0.5,9106,2,37061,1
919,Wood,Ohio,10.0,0.43,25640,52,129504,1
