,County,State,num_icu_be,irr2010,popOver60,deaths,Total Population,cluster
107,Orange,California,629.0,0.16,598030,466,3155816,2
108,Placer,California,70.0,0.4,92327,11,374985,1
109,Riverside,California,365.0,0.36,437180,585,2355002,2
110,Sacramento,California,262.0,0.28,279005,94,1495400,2
111,San Benito,California,8.0,0.5,10074,2,58671,1
112,San Bernardino,California,350.0,0.4,330448,310,2121220,2
113,San Diego,California,540.0,0.31,604412,465,3283665,2
114,San Francisco,California,293.0,0.08,179193,51,864263,0
115,San Joaquin,California,110.0,0.37,123774,81,724153,0
116,San Luis Obispo,California,54.0,0.44,70097,6,280119,1
117,San Mateo,California,110.0,0.3,161619,114,763450,0
118,Santa Barbara,California,62.0,0.42,86816,32,442996,0
119,Santa Clara,California,283.0,0.3,338720,177,1911226,2
120,Santa Cruz,California,22.0,0.37,57232,3,273263,1
121,Shasta,California,81.0,0.47,47900,6,178919,1
122,Siskiyou,California,8.0,0.56,14018,0,43530,1
123,Solano,California,92.0,0.37,90069,31,434981,0
124,Sonoma,California,82.0,0.39,124291,19,500943,0
125,Stanislaus,California,74.0,0.39,92698,61,535684,0
126,Tehama,California,8.0,0.52,15876,1,63247,1
127,Tulare,California,65.0,0.43,69266,161,458809,0
128,Tuolumne,California,6.0,0.52,17942,0,53899,1
129,Ventura,California,153.0,0.37,167777,56,847834,0
130,Yolo,California,14.0,0.44,34981,30,212605,1
131,Yuba,California,24.0,0.47,12327,3,74644,1
132,Adams,Colorado,181.0,0.38,69778,159,487850,0
133,Alamosa,Colorado,6.0,0.56,2952,7,16345,1
134,Arapahoe,Colorado,127.0,0.35,111767,351,626612,0
135,Boulder,Colorado,72.0,0.39,59425,74,316782,1
136,Chaffee,Colorado,2.0,0.56,6312,19,18818,1
137,Delta,Colorado,6.0,0.53,9773,1,30217,1
138,Denver,Colorado,208.0,0.18,109403,398,678467,0
139,Douglas,Colorado,54.0,0.39,50139,54,320940,1
140,Eagle,Colorado,5.0,0.52,8107,9,53726,1
141,El Paso,Colorado,91.0,0.39,116223,119,674826,0
142,Fremont,Colorado,4.0,0.52,12609,0,46601,1
143,Garfield,Colorado,5.0,0.53,10202,4,57945,1
144,Jefferson,Colorado,46.0,0.35,124374,217,564029,0
145,La Plata,Colorado,11.0,0.52,12490,1,54469,1
146,Larimer,Colorado,43.0,0.43,67199,30,330976,1
147,Logan,Colorado,4.0,0.55,5056,5,21885,1
148,Mesa,Colorado,30.0,0.47,35763,0,148798,1
149,Montezuma,Colorado,4.0,0.55,7299,3,25770,1
150,Montrose,Colorado,8.0,0.53,12041,12,40908,1
151,Morgan,Colorado,6.0,0.54,6047,46,28123,1
152,Pitkin,Colorado,4.0,0.57,4417,2,17747,1
153,Pueblo,Colorado,17.0,0.46,39318,32,163368,1
154,Routt,Colorado,4.0,0.57,4914,6,24359,1
155,Summit,Colorado,8.0,0.52,5667,4,29722,1
156,Weld,Colorado,16.0,0.45,48279,139,285729,1
157,Fairfield,Connecticut,157.0,0.2,197334,1391,947328,0
158,Hartford,Connecticut,216.0,0.22,201242,1402,897417,0
159,Litchfield,Connecticut,21.0,0.42,50170,138,184454,1
160,Middlesex,Connecticut,24.0,0.36,41372,189,164110,1
161,New Haven,Connecticut,110.0,0.19,194911,1088,862127,0
162,New London,Connecticut,22.0,0.36,63495,102,270772,1
163,Tolland,Connecticut,16.0,0.38,31539,65,151596,1
164,Windham,Connecticut,6.0,0.43,25482,14,116674,1
165,Kent,Delaware,29.0,0.41,36849,94,173145,1
166,New Castle,Delaware,93.0,0.26,112051,249,555036,0
167,Sussex,Delaware,18.0,0.41,71832,178,215551,1
168,Alachua,Florida,66.0,0.4,47766,12,259865,1
169,Bay,Florida,77.0,0.41,40210,8,180117,1
170,Brevard,Florida,157.0,0.34,170919,44,568183,0
171,Broward,Florida,525.0,0.28,406732,464,1890416,2
172,Charlotte,Florida,51.0,0.4,81236,80,173236,1
173,Citrus,Florida,40.0,0.4,61636,17,141373,1
174,Clay,Florida,42.0,0.39,41495,42,203291,1
175,Collier,Florida,58.0,0.41,132129,100,356774,1
176,Columbia,Florida,27.0,0.48,17039,4,68484,1
177,DeSoto,Florida,8.0,0.5,9739,13,35675,1
178,Duval,Florida,351.0,0.25,171837,89,912043,0
179,Escambia,Florida,85.0,0.35,68143,56,309924,1
180,Flagler,Florida,18.0,0.43,38651,7,105015,1
181,Hendry,Florida,3.0,0.52,6808,30,39064,1
182,Hernando,Florida,44.0,0.39,61882,13,179144,1
183,Highlands,Florida,38.0,0.45,41387,13,100177,1
184,Hillsborough,Florida,411.0,0.24,257269,232,1351087,0
185,Indian River,Florida,40.0,0.4,57277,22,147981,1
186,Jackson,Florida,7.0,0.5,12035,6,48571,1
187,Lake,Florida,62.0,0.39,107419,34,326215,1
188,Lee,Florida,141.0,0.28,239488,206,700165,0
189,Leon,Florida,50.0,0.37,49057,10,285890,1
190,Manatee,Florida,98.0,0.37,120595,143,363542,1
191,Marion,Florida,110.0,0.4,119425,18,343778,1
192,Martin,Florida,57.0,0.41,57914,46,155719,1
193,Miami-Dade,Florida,540.0,0.3,563748,1246,2702602,2
194,Monroe,Florida,14.0,0.48,22310,6,76745,1
195,Okaloosa,Florida,51.0,0.42,41694,12,197591,1
196,Okeechobee,Florida,8.0,0.5,10230,2,40228,1
197,Orange,Florida,334.0,0.25,206342,101,1290216,0
198,Osceola,Florida,66.0,0.42,57062,37,325168,1
199,Palm Beach,Florida,389.0,0.32,414928,638,1426772,2
200,Pasco,Florida,130.0,0.32,142985,40,498136,0
201,Pinellas,Florida,276.0,0.13,293786,295,949842,0
202,Polk,Florida,127.0,0.36,169578,159,652256,0
203,Putnam,Florida,10.0,0.47,21116,7,72435,1
204,St. Johns,Florida,47.0,0.4,57092,14,226578,1
