county,state,first_case_date
Russell,Kentucky,2020-03-31
Rowan,Kentucky,2020-04-11
Rockcastle,Kentucky,2020-03-31
Pulaski,Kentucky,2020-03-19
Powell,Kentucky,2020-03-31
Pike,Kentucky,2020-04-05
Pratt,Kansas,2020-04-01
Phillips,Kansas,2020-04-11
St. Charles,Louisiana,2020-03-13
Franklin,Iowa,2020-04-06
Henry,Iowa,2020-03-21
Harrison,Iowa,2020-03-13
Hardin,Iowa,2020-03-27
Hancock,Iowa,2020-03-23
Hamilton,Iowa,2020-04-05
Guthrie,Iowa,2020-03-30
Grundy,Iowa,2020-04-04
Greene,Iowa,2020-04-07
Fremont,Iowa,2020-05-08
Floyd,Iowa,2020-05-01
Ottawa,Kansas,2020-03-27
Fayette,Iowa,2020-03-21
Emmet,Iowa,2020-05-13
Dubuque,Iowa,2020-03-19
Dickinson,Iowa,2020-03-27
Des Moines,Iowa,2020-03-26
Delaware,Iowa,2020-04-07
Davis,Iowa,2020-04-29
Dallas,Iowa,2020-03-14
Crawford,Iowa,2020-03-30
Howard,Iowa,2020-04-04
Humboldt,Iowa,2020-04-21
Ida,Iowa,2020-05-12
Iowa,Iowa,2020-03-27
Monona,Iowa,2020-03-26
Mitchell,Iowa,2020-04-01
Mills,Iowa,2020-04-04
Marshall,Iowa,2020-03-27
Marion,Iowa,2020-04-06
Mahaska,Iowa,2020-03-26
Madison,Iowa,2020-04-01
Lyon,Iowa,2020-04-03
Lucas,Iowa,2020-05-17
Louisa,Iowa,2020-04-03
Linn,Iowa,2020-03-21
Lee,Iowa,2020-04-04
Kossuth,Iowa,2020-03-22
Keokuk,Iowa,2020-03-28
Jones,Iowa,2020-03-30
Johnson,Iowa,2020-03-08
Jefferson,Iowa,2020-04-02
Jasper,Iowa,2020-03-24
Jackson,Iowa,2020-03-30
Clinton,Iowa,2020-03-27
Clayton,Iowa,2020-03-26
Clay,Iowa,2020-03-31
Wells,Indiana,2020-03-14
Washington,Indiana,2020-03-21
Warrick,Indiana,2020-03-24
Warren,Indiana,2020-03-26
Wabash,Indiana,2020-03-28
Vigo,Indiana,2020-03-20
Vermillion,Indiana,2020-03-28
Vanderburgh,Indiana,2020-03-20
Union,Indiana,2020-04-04
Tipton,Indiana,2020-03-22
Tippecanoe,Indiana,2020-03-19
Switzerland,Indiana,2020-03-28
Sullivan,Indiana,2020-03-24
Steuben,Indiana,2020-03-29
Starke,Indiana,2020-03-24
St. Joseph,Indiana,2020-03-11
Spencer,Indiana,2020-04-02
Shelby,Indiana,2020-03-20
Rush,Indiana,2020-03-25
Ripley,Indiana,2020-03-22
Wayne,Indiana,2020-03-19
White,Indiana,2020-03-28
Clarke,Iowa,2020-04-05
Whitley,Indiana,2020-03-27
Chickasaw,Iowa,2020-04-06
Cherokee,Iowa,2020-04-21
Cerro Gordo,Iowa,2020-03-22
Cedar,Iowa,2020-03-24
Cass,Iowa,2020-04-13
Carroll,Iowa,2020-03-12
Calhoun,Iowa,2020-05-01
Butler,Iowa,2020-03-27
Buena Vista,Iowa,2020-04-07
Buchanan,Iowa,2020-03-24
Bremer,Iowa,2020-04-02
Boone,Iowa,2020-03-28
Black Hawk,Iowa,2020-03-17
Benton,Iowa,2020-03-25
Audubon,Iowa,2020-03-30
Appanoose,Iowa,2020-03-26
Allamakee,Iowa,2020-03-15
Adams,Iowa,2020-05-17
Adair,Iowa,2020-03-17
Monroe,Iowa,2020-05-03
Montgomery,Iowa,2020-03-27
Muscatine,Iowa,2020-03-19
Jewell,Kansas,2020-04-04
Jackson,Kansas,2020-03-22
Haskell,Kansas,2020-04-20
Harvey,Kansas,2020-03-27
Harper,Kansas,2020-04-30
Hamilton,Kansas,2020-04-11
Greenwood,Kansas,2020-04-04
Gray,Kansas,2020-04-23
Grant,Kansas,2020-04-24
Gove,Kansas,2020-03-27
Geary,Kansas,2020-04-05
Franklin,Kansas,2020-03-14
Ford,Kansas,2020-03-17
Finney,Kansas,2020-03-29
Ellsworth,Kansas,2020-05-04
Ellis,Kansas,2020-04-11
Edwards,Kansas,2020-04-22
Douglas,Kansas,2020-03-17
Doniphan,Kansas,2020-03-24
Dickinson,Kansas,2020-04-14
Jefferson,Kansas,2020-03-26
Johnson,Kansas,2020-03-07
Cowley,Kansas,2020-04-02
Kearny,Kansas,2020-04-12
Osborne,Kansas,2020-04-03
Osage,Kansas,2020-03-27
Norton,Kansas,2020-05-01
Ness,Kansas,2020-05-18
Neosho,Kansas,2020-03-25
Nemaha,Kansas,2020-04-28
Morton,Kansas,2020-04-06
Morris,Kansas,2020-03-19
Montgomery,Kansas,2020-03-29
Mitchell,Kansas,2020-03-22
Miami,Kansas,2020-03-28
Meade,Kansas,2020-04-24
McPherson,Kansas,2020-03-27
Marion,Kansas,2020-04-03
Lyon,Kansas,2020-03-23
Linn,Kansas,2020-03-19
Leavenworth,Kansas,2020-03-18
Labette,Kansas,2020-03-31
Kiowa,Kansas,2020-04-23
Crawford,Kansas,2020-03-25
Coffey,Kansas,2020-03-27
O'Brien,Iowa,2020-04-02
Warren,Iowa,2020-03-24
Van Buren,Iowa,2020-03-30
Unknown,Iowa,2020-04-17
Union,Iowa,2020-04-10
Taylor,Iowa,2020-03-28
Tama,Iowa,2020-03-22
Story,Iowa,2020-03-21
Sioux,Iowa,2020-03-22
Shelby,Iowa,2020-03-28
Scott,Iowa,2020-03-22
Sac,Iowa,2020-05-01
Ringgold,Iowa,2020-05-19
Poweshiek,Iowa,2020-03-22
Pottawattamie,Iowa,2020-03-09
Polk,Iowa,2020-03-15
Pocahontas,Iowa,2020-04-27
Plymouth,Iowa,2020-04-03
Palo Alto,Iowa,2020-05-08
Page,Iowa,2020-03-26
Osceola,Iowa,2020-04-10
Wapello,Iowa,2020-03-23
Washington,Iowa,2020-03-18
Cloud,Kansas,2020-04-02
Wayne,Iowa,2020-05-01
Clay,Kansas,2020-03-27
Clark,Kansas,2020-04-23
Cheyenne,Kansas,2020-04-29
Cherokee,Kansas,2020-03-19
Chautauqua,Kansas,2020-03-31
Chase,Kansas,2020-04-17
Butler,Kansas,2020-03-13
Brown,Kansas,2020-05-04
Bourbon,Kansas,2020-03-23
Barton,Kansas,2020-03-31
Barber,Kansas,2020-04-07
Atchison,Kansas,2020-03-30
Anderson,Kansas,2020-05-09
Wright,Iowa,2020-03-27
Worth,Iowa,2020-04-08
Woodbury,Iowa,2020-03-22
Winneshiek,Iowa,2020-03-18
Winnebago,Iowa,2020-04-06
Webster,Iowa,2020-03-27
St. Bernard,Louisiana,2020-03-15
St. Helena,Louisiana,2020-03-31
Kansas City,Missouri,2020-03-20
Alcorn,Mississippi,2020-03-30
Claiborne,Mississippi,2020-03-29
Choctaw,Mississippi,2020-03-24
Chickasaw,Mississippi,2020-03-22
Carroll,Mississippi,2020-03-29
Calhoun,Mississippi,2020-03-25
Bolivar,Mississippi,2020-03-18
Benton,Mississippi,2020-03-26
Attala,Mississippi,2020-03-21
Amite,Mississippi,2020-03-28
Adams,Mississippi,2020-03-20
Isanti,Minnesota,2020-03-29
Yellow Medicine,Minnesota,2020-04-01
Wright,Minnesota,2020-03-13
Winona,Minnesota,2020-03-25
Wilkin,Minnesota,2020-03-26
Watonwan,Minnesota,2020-03-30
Washington,Minnesota,2020-03-15
Waseca,Minnesota,2020-03-15
Wadena,Minnesota,2020-04-28
Wabasha,Minnesota,2020-03-21
Clarke,Mississippi,2020-03-28
Clay,Mississippi,2020-03-21
Coahoma,Mississippi,2020-03-18
Copiah,Mississippi,2020-03-13
Kemper,Mississippi,2020-03-27
Jones,Mississippi,2020-03-19
Jefferson Davis,Mississippi,2020-04-09
Jefferson,Mississippi,2020-03-27
Jasper,Mississippi,2020-04-01
Jackson,Mississippi,2020-03-17
Itawamba,Mississippi,2020-03-21
Humphreys,Mississippi,2020-03-20
Holmes,Mississippi,2020-03-19
Hinds,Mississippi,2020-03-15
Harrison,Mississippi,2020-03-17
Hancock,Mississippi,2020-03-16
Grenada,Mississippi,2020-03-21
Greene,Mississippi,2020-04-06
George,Mississippi,2020-03-21
Franklin,Mississippi,2020-03-20
Forrest,Mississippi,2020-03-11
DeSoto,Mississippi,2020-03-18
Covington,Mississippi,2020-03-28
Unknown,Minnesota,2020-03-21
Traverse,Minnesota,2020-03-31
Todd,Minnesota,2020-04-12
Nobles,Minnesota,2020-04-10
Murray,Minnesota,2020-04-06
Mower,Minnesota,2020-03-19
