county,state,first_case_date
Nevada,California,2020-03-16
Napa,California,2020-02-26
Monterey,California,2020-03-17
Mono,California,2020-03-24
Merced,California,2020-03-24
Mendocino,California,2020-03-18
Mariposa,California,2020-04-28
Marin,California,2020-02-26
Madera,California,2020-03-07
Los Angeles,California,2020-01-26
Lake,California,2020-04-06
Kings,California,2020-03-27
Kern,California,2020-03-17
Inyo,California,2020-03-25
Imperial,California,2020-03-20
Humboldt,California,2020-02-20
Glenn,California,2020-03-28
Plumas,California,2020-03-31
Sacramento,California,2020-02-21
Ventura,California,2020-03-10
San Benito,California,2020-03-13
Tuolumne,California,2020-03-29
Tulare,California,2020-03-12
Trinity,California,2020-05-10
Tehama,California,2020-04-03
Sutter,California,2020-03-25
Stanislaus,California,2020-03-11
Sonoma,California,2020-02-26
Solano,California,2020-02-24
Siskiyou,California,2020-03-21
Shasta,California,2020-03-09
Santa Cruz,California,2020-03-07
Santa Clara,California,2020-01-31
Santa Barbara,California,2020-03-15
San Mateo,California,2020-03-02
San Luis Obispo,California,2020-03-14
San Joaquin,California,2020-03-10
San Francisco,California,2020-02-02
San Diego,California,2020-02-10
San Bernardino,California,2020-03-15
Park,Colorado,2020-03-20
Phillips,Colorado,2020-03-30
Pitkin,Colorado,2020-03-11
Manatee,Florida,2020-03-01
Liberty,Florida,2020-04-10
Levy,Florida,2020-03-27
Leon,Florida,2020-03-18
Lee,Florida,2020-03-06
Lake,Florida,2020-03-16
Lafayette,Florida,2020-04-08
Jefferson,Florida,2020-04-04
Jackson,Florida,2020-03-19
Indian River,Florida,2020-03-19
Holmes,Florida,2020-03-30
Hillsborough,Florida,2020-03-01
Highlands,Florida,2020-03-21
Hernando,Florida,2020-03-19
Hendry,Florida,2020-03-28
Hardee,Florida,2020-04-01
Hamilton,Florida,2020-04-06
Gulf,Florida,2020-04-01
Glades,Florida,2020-03-29
Gilchrist,Florida,2020-04-07
Madison,Florida,2020-04-01
Marion,Florida,2020-03-21
Franklin,Florida,2020-04-03
Martin,Florida,2020-03-19
Suwannee,Florida,2020-03-27
Sumter,Florida,2020-03-18
St. Lucie,Florida,2020-03-21
St. Johns,Florida,2020-03-11
Seminole,Florida,2020-03-12
Sarasota,Florida,2020-03-12
Santa Rosa,Florida,2020-03-05
Putnam,Florida,2020-03-21
Polk,Florida,2020-03-17
Pinellas,Florida,2020-03-10
Pasco,Florida,2020-03-10
Palm Beach,Florida,2020-03-12
Osceola,Florida,2020-03-13
Orange,Florida,2020-03-13
Okeechobee,Florida,2020-04-01
Okaloosa,Florida,2020-03-07
Nassau,Florida,2020-03-10
Monroe,Florida,2020-03-20
Miami-Dade,Florida,2020-03-11
Gadsden,Florida,2020-03-25
Flagler,Florida,2020-03-22
Prowers,Colorado,2020-04-09
Unknown,Connecticut,2020-03-30
New London,Connecticut,2020-03-20
New Haven,Connecticut,2020-03-14
Middlesex,Connecticut,2020-03-18
Litchfield,Connecticut,2020-03-12
Hartford,Connecticut,2020-03-14
Fairfield,Connecticut,2020-03-08
Yuma,Colorado,2020-03-18
Weld,Colorado,2020-03-13
Washington,Colorado,2020-03-26
Unknown,Colorado,2020-03-22
Teller,Colorado,2020-03-23
Summit,Colorado,2020-03-13
San Miguel,Colorado,2020-03-20
San Juan,Colorado,2020-05-06
Saguache,Colorado,2020-03-31
Routt,Colorado,2020-03-13
Rio Grande,Colorado,2020-03-26
Rio Blanco,Colorado,2020-04-03
Pueblo,Colorado,2020-03-13
Tolland,Connecticut,2020-03-19
Windham,Connecticut,2020-03-19
Escambia,Florida,2020-03-16
Kent,Delaware,2020-03-18
Duval,Florida,2020-03-12
Dixie,Florida,2020-04-04
DeSoto,Florida,2020-03-22
Columbia,Florida,2020-03-22
Collier,Florida,2020-03-10
Clay,Florida,2020-03-12
Citrus,Florida,2020-03-15
Charlotte,Florida,2020-03-07
Calhoun,Florida,2020-03-31
Broward,Florida,2020-03-06
Brevard,Florida,2020-03-17
Bradford,Florida,2020-03-22
Bay,Florida,2020-03-21
Baker,Florida,2020-03-15
Alachua,Florida,2020-03-10
District of Columbia,District of Columbia,2020-03-07
Unknown,Delaware,2020-04-10
Sussex,Delaware,2020-03-17
New Castle,Delaware,2020-03-11
Fresno,California,2020-03-07
Del Norte,California,2020-04-02
Posey,Indiana,2020-03-26
Russell,Alabama,2020-03-25
Washington,Alabama,2020-03-20
Walker,Alabama,2020-03-19
Unknown,Alabama,2020-05-21
Tuscaloosa,Alabama,2020-03-13
Tallapoosa,Alabama,2020-03-23
Talladega,Alabama,2020-03-18
Sumter,Alabama,2020-03-30
St. Clair,Alabama,2020-03-17
Shelby,Alabama,2020-03-15
Randolph,Alabama,2020-03-27
Contra Costa,California,2020-03-03
Pike,Alabama,2020-03-25
Pickens,Alabama,2020-03-25
Perry,Alabama,2020-04-09
Morgan,Alabama,2020-03-24
Montgomery,Alabama,2020-03-13
Monroe,Alabama,2020-03-28
Mobile,Alabama,2020-03-19
Marshall,Alabama,2020-03-25
Marion,Alabama,2020-03-21
Wilcox,Alabama,2020-03-25
Winston,Alabama,2020-03-27
Anchorage,Alaska,2020-03-12
Bethel Census Area,Alaska,2020-04-07
Gila,Arizona,2020-03-28
Coconino,Arizona,2020-03-18
Cochise,Arizona,2020-03-21
Apache,Arizona,2020-03-21
Yukon-Koyukuk Census Area,Alaska,2020-04-02
Valdez-Cordova Census Area,Alaska,2020-05-07
Unknown,Alaska,2020-04-02
Southeast Fairbanks Census Area,Alaska,2020-04-03
Sitka City and Borough,Alaska,2020-04-26
Prince of Wales-Hyder Census Area,Alaska,2020-04-11
Petersburg Borough,Alaska,2020-04-06
Northwest Arctic Borough,Alaska,2020-05-20
Nome Census Area,Alaska,2020-04-15
Matanuska-Susitna Borough,Alaska,2020-03-23
Kodiak Island Borough,Alaska,2020-04-16
Ketchikan Gateway Borough,Alaska,2020-03-17
Kenai Peninsula Borough,Alaska,2020-03-18
Juneau City and Borough,Alaska,2020-03-23
Fairbanks North Star Borough,Alaska,2020-03-16
Marengo,Alabama,2020-03-26
Madison,Alabama,2020-03-17
Macon,Alabama,2020-03-29
Crenshaw,Alabama,2020-03-26
Coosa,Alabama,2020-03-26
Conecuh,Alabama,2020-04-01
Colbert,Alabama,2020-03-25
Coffee,Alabama,2020-04-02
Cleburne,Alabama,2020-03-25
Clay,Alabama,2020-03-25
Clarke,Alabama,2020-04-01
Choctaw,Alabama,2020-03-26
Chilton,Alabama,2020-03-25
Cherokee,Alabama,2020-03-25
Chambers,Alabama,2020-03-19
Calhoun,Alabama,2020-03-18
Butler,Alabama,2020-03-25
Bullock,Alabama,2020-03-26
Blount,Alabama,2020-03-25
Bibb,Alabama,2020-03-30
Barbour,Alabama,2020-04-03
Baldwin,Alabama,2020-03-14
Autauga,Alabama,2020-03-24
Covington,Alabama,2020-03-27
Cullman,Alabama,2020-03-20
Lowndes,Alabama,2020-03-26
Dale,Alabama,2020-04-01
Limestone,Alabama,2020-03-13
Lee,Alabama,2020-03-15
Lawrence,Alabama,2020-03-25
Lauderdale,Alabama,2020-03-20
Lamar,Alabama,2020-03-20
Jefferson,Alabama,2020-03-13
Jackson,Alabama,2020-03-20
Houston,Alabama,2020-03-23
Henry,Alabama,2020-04-03
Hale,Alabama,2020-03-30
Greene,Alabama,2020-03-27
Geneva,Alabama,2020-04-12
Franklin,Alabama,2020-03-23
Fayette,Alabama,2020-03-30
Etowah,Alabama,2020-03-25
Escambia,Alabama,2020-03-27
Elmore,Alabama,2020-03-13
DeKalb,Alabama,2020-03-26
Dallas,Alabama,2020-03-25
Graham,Arizona,2020-03-14
Greenlee,Arizona,2020-03-30
La Paz,Arizona,2020-03-26
Randolph,Arkansas,2020-03-26
Prairie,Arkansas,2020-04-03
Pope,Arkansas,2020-03-19
Polk,Arkansas,2020-03-19
Poinsett,Arkansas,2020-03-19
Pike,Arkansas,2020-03-24
Phillips,Arkansas,2020-04-05
Perry,Arkansas,2020-03-29
Ouachita,Arkansas,2020-04-02
Newton,Arkansas,2020-03-30
Nevada,Arkansas,2020-03-29
Montgomery,Arkansas,2020-04-28
Monroe,Arkansas,2020-04-02
Mississippi,Arkansas,2020-04-02
Miller,Arkansas,2020-03-31
Marion,Arkansas,2020-04-10
Madison,Arkansas,2020-04-08
Lonoke,Arkansas,2020-03-26
Logan,Arkansas,2020-04-06
Little River,Arkansas,2020-05-16
Pulaski,Arkansas,2020-03-12
Saline,Arkansas,2020-03-15
Lee,Arkansas,2020-04-01
Scott,Arkansas,2020-03-31
Colusa,California,2020-03-27
Calaveras,California,2020-03-24
Butte,California,2020-03-21
Amador,California,2020-03-20
Alpine,California,2020-03-30
Alameda,California,2020-03-01
Yell,Arkansas,2020-04-05
Woodruff,Arkansas,2020-03-24
White,Arkansas,2020-03-24
Washington,Arkansas,2020-03-18
Van Buren,Arkansas,2020-03-19
Unknown,Arkansas,2020-03-20
Union,Arkansas,2020-03-24
Stone,Arkansas,2020-03-24
St. Francis,Arkansas,2020-03-30
Sharp,Arkansas,2020-04-02
Sevier,Arkansas,2020-03-19
Sebastian,Arkansas,2020-03-19
Searcy,Arkansas,2020-03-19
Lincoln,Arkansas,2020-03-16
Lawrence,Arkansas,2020-03-24
Maricopa,Arizona,2020-01-26
Conway,Arkansas,2020-03-24
Cleveland,Arkansas,2020-03-16
Cleburne,Arkansas,2020-03-16
Clay,Arkansas,2020-04-06
Clark,Arkansas,2020-03-19
Chicot,Arkansas,2020-03-26
Carroll,Arkansas,2020-04-01
Bradley,Arkansas,2020-03-18
Boone,Arkansas,2020-03-19
Benton,Arkansas,2020-03-19
Baxter,Arkansas,2020-03-27
Ashley,Arkansas,2020-03-29
Arkansas,Arkansas,2020-03-29
Yuma,Arizona,2020-03-20
Yavapai,Arizona,2020-03-19
Santa Cruz,Arizona,2020-03-19
Pinal,Arizona,2020-03-06
Pima,Arizona,2020-03-09
Navajo,Arizona,2020-03-17
Mohave,Arizona,2020-03-26
Columbia,Arkansas,2020-03-24
Craighead,Arkansas,2020-03-19
Lafayette,Arkansas,2020-04-03
Crawford,Arkansas,2020-03-24
Johnson,Arkansas,2020-03-28
Jefferson,Arkansas,2020-03-11
Jackson,Arkansas,2020-04-13
Izard,Arkansas,2020-04-06
Independence,Arkansas,2020-03-19
Howard,Arkansas,2020-03-26
Hot Spring,Arkansas,2020-03-24
Hempstead,Arkansas,2020-03-29
Greene,Arkansas,2020-03-19
Grant,Arkansas,2020-03-19
Garland,Arkansas,2020-03-15
Fulton,Arkansas,2020-04-23
Franklin,Arkansas,2020-04-06
Faulkner,Arkansas,2020-03-18
Drew,Arkansas,2020-03-25
Desha,Arkansas,2020-03-16
Dallas,Arkansas,2020-04-04
Cross,Arkansas,2020-03-24
Crittenden,Arkansas,2020-03-19
Taylor,Florida,2020-04-07
Union,Florida,2020-03-31
Unknown,Florida,2020-03-22
Jefferson,Illinois,2020-04-06
Lake,Illinois,2020-03-11
LaSalle,Illinois,2020-03-18
Knox,Illinois,2020-03-29
Kendall,Illinois,2020-03-18
Kankakee,Illinois,2020-03-18
Kane,Illinois,2020-03-10
Johnson,Illinois,2020-04-13
Jo Daviess,Illinois,2020-03-22
Jersey,Illinois,2020-04-03
Jasper,Illinois,2020-04-04
Volusia,Florida,2020-03-07
Jackson,Illinois,2020-03-18
Iroquois,Illinois,2020-03-27
Henry,Illinois,2020-03-27
Henderson,Illinois,2020-04-17
Hardin,Illinois,2020-04-21
Hancock,Illinois,2020-04-08
Hamilton,Illinois,2020-04-18
Grundy,Illinois,2020-03-24
Greene,Illinois,2020-04-10
Lawrence,Illinois,2020-04-07
Lee,Illinois,2020-04-04
Livingston,Illinois,2020-03-22
Logan,Illinois,2020-04-02
Perry,Illinois,2020-04-11
Peoria,Illinois,2020-03-16
Ogle,Illinois,2020-03-31
Moultrie,Illinois,2020-04-02
Morgan,Illinois,2020-03-25
Montgomery,Illinois,2020-03-29
Monroe,Illinois,2020-03-23
Mercer,Illinois,2020-04-02
Menard,Illinois,2020-03-29
McLean,Illinois,2020-03-20
McHenry,Illinois,2020-03-10
McDonough,Illinois,2020-04-11
Massac,Illinois,2020-04-01
Mason,Illinois,2020-04-04
Marshall,Illinois,2020-03-25
Marion,Illinois,2020-03-30
Madison,Illinois,2020-03-18
Macoupin,Illinois,2020-04-02
Macon,Illinois,2020-03-28
Gallatin,Illinois,2020-04-05
Fulton,Illinois,2020-04-10
Franklin,Illinois,2020-03-26
Boone,Illinois,2020-04-05
Alexander,Illinois,2020-04-16
Adams,Illinois,2020-03-20
Washington,Idaho,2020-04-02
Valley,Idaho,2020-03-22
Twin Falls,Idaho,2020-03-18
Teton,Idaho,2020-03-14
Power,Idaho,2020-04-07
Payette,Idaho,2020-03-25
Owyhee,Idaho,2020-03-29
Nez Perce,Idaho,2020-03-25
Minidoka,Idaho,2020-03-30
Madison,Idaho,2020-03-17
Lincoln,Idaho,2020-03-28
Lemhi,Idaho,2020-04-25
Latah,Idaho,2020-04-01
Kootenai,Idaho,2020-03-20
Jerome,Idaho,2020-03-30
Jefferson,Idaho,2020-03-25
Idaho,Idaho,2020-03-25
Bond,Illinois,2020-03-29
Brown,Illinois,2020-05-01
Ford,Illinois,2020-03-31
Bureau,Illinois,2020-03-27
Fayette,Illinois,2020-03-28
Effingham,Illinois,2020-04-03
Edwards,Illinois,2020-05-13
DuPage,Illinois,2020-03-14
Douglas,Illinois,2020-03-25
DeKalb,Illinois,2020-03-21
De Witt,Illinois,2020-04-03
Cumberland,Illinois,2020-03-14
Crawford,Illinois,2020-03-30
Cook,Illinois,2020-01-24
Coles,Illinois,2020-04-07
Clinton,Illinois,2020-03-15
Clay,Illinois,2020-04-14
Clark,Illinois,2020-03-30
Christian,Illinois,2020-03-20
Champaign,Illinois,2020-03-22
Cass,Illinois,2020-04-20
Carroll,Illinois,2020-03-28
Calhoun,Illinois,2020-04-05
Piatt,Illinois,2020-04-02
Pike,Illinois,2020-04-04
Pope,Illinois,2020-05-08
Kosciusko,Indiana,2020-03-27
Johnson,Indiana,2020-03-11
Jennings,Indiana,2020-03-18
Jefferson,Indiana,2020-03-31
Jay,Indiana,2020-04-01
Jasper,Indiana,2020-03-25
Jackson,Indiana,2020-03-24
Huntington,Indiana,2020-03-27
Howard,Indiana,2020-03-11
Henry,Indiana,2020-03-27
Hendricks,Indiana,2020-03-08
Harrison,Indiana,2020-03-21
Hancock,Indiana,2020-03-21
Hamilton,Indiana,2020-03-15
Greene,Indiana,2020-03-29
Grant,Indiana,2020-03-20
Gibson,Indiana,2020-03-24
Fulton,Indiana,2020-03-27
Franklin,Indiana,2020-03-17
Fountain,Indiana,2020-03-26
Knox,Indiana,2020-03-29
LaGrange,Indiana,2020-03-27
Fayette,Indiana,2020-03-18
LaPorte,Indiana,2020-03-14
Porter,Indiana,2020-03-24
Pike,Indiana,2020-04-12
Perry,Indiana,2020-04-10
Parke,Indiana,2020-04-03
Owen,Indiana,2020-03-19
Orange,Indiana,2020-03-26
Ohio,Indiana,2020-03-24
Noble,Indiana,2020-03-09
Newton,Indiana,2020-03-28
Morgan,Indiana,2020-03-22
Montgomery,Indiana,2020-03-24
Monroe,Indiana,2020-03-22
Miami,Indiana,2020-03-21
Martin,Indiana,2020-04-04
Marshall,Indiana,2020-03-26
Marion,Indiana,2020-03-06
Madison,Indiana,2020-03-18
Lawrence,Indiana,2020-03-24
Lake,Indiana,2020-03-17
Floyd,Indiana,2020-03-16
Elkhart,Indiana,2020-03-21
Pulaski,Illinois,2020-04-09
Will,Illinois,2020-03-16
White,Illinois,2020-04-20
Wayne,Illinois,2020-04-17
Washington,Illinois,2020-03-18
Warren,Illinois,2020-04-11
Wabash,Illinois,2020-04-06
Vermilion,Illinois,2020-04-01
Union,Illinois,2020-04-15
Tazewell,Illinois,2020-03-26
Stephenson,Illinois,2020-03-22
Stark,Illinois,2020-04-08
St. Clair,Illinois,2020-03-14
Shelby,Illinois,2020-04-07
Schuyler,Illinois,2020-04-09
Sangamon,Illinois,2020-03-14
Saline,Illinois,2020-03-30
Rock Island,Illinois,2020-03-22
Richland,Illinois,2020-04-07
Randolph,Illinois,2020-03-30
Putnam,Illinois,2020-05-16
Whiteside,Illinois,2020-03-15
Williamson,Illinois,2020-03-18
Dubois,Indiana,2020-03-23
Winnebago,Illinois,2020-03-15
Delaware,Indiana,2020-03-21
Decatur,Indiana,2020-03-24
Dearborn,Indiana,2020-03-24
DeKalb,Indiana,2020-03-25
Daviess,Indiana,2020-04-05
Crawford,Indiana,2020-03-28
Clinton,Indiana,2020-03-27
Clay,Indiana,2020-03-29
Clark,Indiana,2020-03-18
Cass,Indiana,2020-03-31
Carroll,Indiana,2020-03-27
Brown,Indiana,2020-03-24
Boone,Indiana,2020-03-10
Blackford,Indiana,2020-04-02
Benton,Indiana,2020-04-12
Bartholomew,Indiana,2020-03-16
Allen,Indiana,2020-03-20
Adams,Indiana,2020-03-10
Woodford,Illinois,2020-03-14
Gooding,Idaho,2020-04-01
Gem,Idaho,2020-03-27
Fremont,Idaho,2020-03-25
Gordon,Georgia,2020-03-13
Glascock,Georgia,2020-05-07
Gilmer,Georgia,2020-03-30
Fulton,Georgia,2020-03-02
Franklin,Georgia,2020-03-26
Forsyth,Georgia,2020-03-16
Floyd,Georgia,2020-03-09
Fayette,Georgia,2020-03-09
Fannin,Georgia,2020-03-24
Evans,Georgia,2020-04-12
Emanuel,Georgia,2020-03-31
Elbert,Georgia,2020-04-03
Effingham,Georgia,2020-03-19
Echols,Georgia,2020-04-06
Early,Georgia,2020-03-19
Douglas,Georgia,2020-03-20
Dougherty,Georgia,2020-03-15
Dooly,Georgia,2020-03-30
Dodge,Georgia,2020-03-25
Decatur,Georgia,2020-03-25
Glynn,Georgia,2020-03-19
Grady,Georgia,2020-03-31
Dawson,Georgia,2020-03-20
Greene,Georgia,2020-03-24
Lamar,Georgia,2020-03-20
Jones,Georgia,2020-03-25
Johnson,Georgia,2020-03-30
Jenkins,Georgia,2020-03-28
Jefferson,Georgia,2020-03-30
Jeff Davis,Georgia,2020-04-06
Jasper,Georgia,2020-03-24
Jackson,Georgia,2020-03-25
Irwin,Georgia,2020-03-24
Houston,Georgia,2020-03-18
Henry,Georgia,2020-03-13
Heard,Georgia,2020-03-20
Hart,Georgia,2020-03-27
Harris,Georgia,2020-03-23
Haralson,Georgia,2020-03-26
Hancock,Georgia,2020-04-07
Hall,Georgia,2020-03-16
Habersham,Georgia,2020-03-27
Gwinnett,Georgia,2020-03-07
DeKalb,Georgia,2020-03-09
Dade,Georgia,2020-03-30
Laurens,Georgia,2020-03-19
Butts,Georgia,2020-03-22
Bulloch,Georgia,2020-03-28
Bryan,Georgia,2020-03-24
Brooks,Georgia,2020-03-29
Brantley,Georgia,2020-04-06
Bleckley,Georgia,2020-03-30
Bibb,Georgia,2020-03-19
Berrien,Georgia,2020-03-30
Ben Hill,Georgia,2020-03-24
Bartow,Georgia,2020-03-11
Barrow,Georgia,2020-03-22
Banks,Georgia,2020-03-30
Baldwin,Georgia,2020-03-21
Baker,Georgia,2020-03-24
Bacon,Georgia,2020-03-29
Atkinson,Georgia,2020-04-06
Appling,Georgia,2020-03-30
Washington,Florida,2020-03-26
Walton,Florida,2020-03-18
Wakulla,Florida,2020-03-29
Burke,Georgia,2020-03-23
Calhoun,Georgia,2020-03-26
Crisp,Georgia,2020-03-24
Camden,Georgia,2020-03-24
Crawford,Georgia,2020-04-05
Coweta,Georgia,2020-03-14
Cook,Georgia,2020-03-30
Columbia,Georgia,2020-03-18
Colquitt,Georgia,2020-03-24
Coffee,Georgia,2020-03-22
Cobb,Georgia,2020-03-07
Clinch,Georgia,2020-03-22
Clayton,Georgia,2020-03-15
Clay,Georgia,2020-03-30
Clarke,Georgia,2020-03-15
Cherokee,Georgia,2020-03-08
Chattooga,Georgia,2020-03-22
Chattahoochee,Georgia,2020-03-27
Chatham,Georgia,2020-03-20
Charlton,Georgia,2020-03-10
Catoosa,Georgia,2020-03-23
Carroll,Georgia,2020-03-20
Candler,Georgia,2020-03-29
Lanier,Georgia,2020-04-01
Lee,Georgia,2020-03-11
Elmore,Idaho,2020-03-30
Whitfield,Georgia,2020-03-17
Wheeler,Georgia,2020-03-28
Webster,Georgia,2020-03-31
Wayne,Georgia,2020-04-04
Washington,Georgia,2020-03-23
Warren,Georgia,2020-03-30
Ware,Georgia,2020-03-25
Walton,Georgia,2020-03-28
Walker,Georgia,2020-03-31
Upson,Georgia,2020-03-27
Unknown,Georgia,2020-03-20
Union,Georgia,2020-04-01
Twiggs,Georgia,2020-03-22
Turner,Georgia,2020-03-20
Troup,Georgia,2020-03-16
Treutlen,Georgia,2020-04-06
Towns,Georgia,2020-04-03
Toombs,Georgia,2020-03-26
Tift,Georgia,2020-03-20
Thomas,Georgia,2020-03-25
White,Georgia,2020-03-25
Wilcox,Georgia,2020-03-31
Telfair,Georgia,2020-04-02
Wilkes,Georgia,2020-03-25
Custer,Idaho,2020-03-26
Cassia,Idaho,2020-03-24
Caribou,Idaho,2020-04-04
Canyon,Idaho,2020-03-20
Camas,Idaho,2020-03-31
Bonneville,Idaho,2020-03-28
Bonner,Idaho,2020-03-30
Blaine,Idaho,2020-03-14
Bingham,Idaho,2020-03-20
Bannock,Idaho,2020-03-24
Adams,Idaho,2020-03-31
Ada,Idaho,2020-03-13
Maui,Hawaii,2020-03-15
Kauai,Hawaii,2020-03-14
Honolulu,Hawaii,2020-03-06
Hawaii,Hawaii,2020-03-17
Unknown,Guam,2020-03-15
Worth,Georgia,2020-03-20
Wilkinson,Georgia,2020-03-31
Terrell,Georgia,2020-03-20
Taylor,Georgia,2020-03-25
Liberty,Georgia,2020-03-23
Paulding,Georgia,2020-03-16
Oconee,Georgia,2020-03-20
Newton,Georgia,2020-03-15
Muscogee,Georgia,2020-03-20
Murray,Georgia,2020-03-28
Morgan,Georgia,2020-03-23
Montgomery,Georgia,2020-04-11
Monroe,Georgia,2020-03-20
Mitchell,Georgia,2020-03-24
Miller,Georgia,2020-03-20
Meriwether,Georgia,2020-03-24
McIntosh,Georgia,2020-03-30
McDuffie,Georgia,2020-03-26
Marion,Georgia,2020-04-03
Madison,Georgia,2020-03-23
Macon,Georgia,2020-03-24
Lumpkin,Georgia,2020-03-21
Lowndes,Georgia,2020-03-11
Long,Georgia,2020-03-25
Lincoln,Georgia,2020-03-20
Oglethorpe,Georgia,2020-03-31
Peach,Georgia,2020-03-19
Tattnall,Georgia,2020-03-22
Pickens,Georgia,2020-03-20
Taliaferro,Georgia,2020-05-03
Talbot,Georgia,2020-03-30
Sumter,Georgia,2020-03-20
Stewart,Georgia,2020-03-31
Stephens,Georgia,2020-03-24
Spalding,Georgia,2020-03-20
Seminole,Georgia,2020-03-24
Screven,Georgia,2020-03-31
Schley,Georgia,2020-03-30
Rockdale,Georgia,2020-03-19
Richmond,Georgia,2020-03-17
Randolph,Georgia,2020-03-20
Rabun,Georgia,2020-03-31
Quitman,Georgia,2020-04-03
Putnam,Georgia,2020-04-01
Pulaski,Georgia,2020-03-24
Polk,Georgia,2020-03-06
Pike,Georgia,2020-03-28
Pierce,Georgia,2020-03-23
Johnson,Missouri,2020-03-21
Scott,Indiana,2020-03-22
Laclede,Missouri,2020-05-09
Grimes,Texas,2020-03-25
Hartley,Texas,2020-04-20
Harrison,Texas,2020-03-27
Harris,Texas,2020-03-05
Hardin,Texas,2020-03-25
Hansford,Texas,2020-04-07
Hamilton,Texas,2020-04-07
Hall,Texas,2020-05-20
Hale,Texas,2020-03-25
Guadalupe,Texas,2020-03-25
Gregg,Texas,2020-03-11
Cameron,Texas,2020-03-19
Grayson,Texas,2020-03-24
Gray,Texas,2020-04-01
Gonzales,Texas,2020-04-01
Goliad,Texas,2020-04-02
Glasscock,Texas,2020-04-30
Gillespie,Texas,2020-04-02
Garza,Texas,2020-04-30
Galveston,Texas,2020-03-13
Gaines,Texas,2020-03-25
Haskell,Texas,2020-05-15
Hays,Texas,2020-03-14
Hemphill,Texas,2020-04-04
Henderson,Texas,2020-03-29
Kaufman,Texas,2020-03-25
Karnes,Texas,2020-03-26
Jones,Texas,2020-04-08
Johnson,Texas,2020-03-19
Jim Wells,Texas,2020-04-02
Jim Hogg,Texas,2020-04-23
Jefferson,Texas,2020-03-24
Jasper,Texas,2020-04-02
Jackson,Texas,2020-03-26
Jack,Texas,2020-04-09
Hutchinson,Texas,2020-04-04
Hunt,Texas,2020-03-25
Howard,Texas,2020-04-10
Houston,Texas,2020-04-19
Hopkins,Texas,2020-03-25
Hood,Texas,2020-03-27
Hockley,Texas,2020-03-20
Hill,Texas,2020-03-30
Hidalgo,Texas,2020-03-24
Frio,Texas,2020-04-08
Freestone,Texas,2020-04-15
Franklin,Texas,2020-03-29
Crosby,Texas,2020-04-07
Cottle,Texas,2020-04-27
Coryell,Texas,2020-03-25
Cooke,Texas,2020-04-10
Concho,Texas,2020-04-10
Comanche,Texas,2020-04-01
Comal,Texas,2020-03-24
Colorado,Texas,2020-04-01
Collingsworth,Texas,2020-05-05
Collin,Texas,2020-03-09
Coleman,Texas,2020-05-02
Coke,Texas,2020-05-05
Cochran,Texas,2020-04-23
Clay,Texas,2020-04-01
Childress,Texas,2020-04-19
Cherokee,Texas,2020-03-27
Chambers,Texas,2020-03-24
Castro,Texas,2020-03-21
Cass,Texas,2020-03-20
Carson,Texas,2020-04-18
Crane,Texas,2020-03-19
Dallam,Texas,2020-04-07
Fort Bend,Texas,2020-03-04
Dallas,Texas,2020-03-10
Floyd,Texas,2020-04-08
Fisher,Texas,2020-05-15
Fayette,Texas,2020-03-25
Fannin,Texas,2020-03-20
Falls,Texas,2020-03-24
Erath,Texas,2020-03-25
Ellis,Texas,2020-03-17
El Paso,Texas,2020-03-13
Ector,Texas,2020-03-29
Eastland,Texas,2020-03-25
Duval,Texas,2020-04-14
Donley,Texas,2020-04-02
Dimmit,Texas,2020-04-11
Dickens,Texas,2020-04-08
Denton,Texas,2020-03-15
Delta,Texas,2020-04-08
Deaf Smith,Texas,2020-03-21
DeWitt,Texas,2020-03-19
Dawson,Texas,2020-03-29
Kendall,Texas,2020-03-25
Kerr,Texas,2020-04-01
Kimble,Texas,2020-05-08
Sherman,Texas,2020-04-16
Shackelford,Texas,2020-05-07
Scurry,Texas,2020-04-09
San Saba,Texas,2020-05-19
San Patricio,Texas,2020-03-25
San Jacinto,Texas,2020-03-29
San Augustine,Texas,2020-04-01
Sabine,Texas,2020-04-09
Rusk,Texas,2020-03-18
Runnels,Texas,2020-04-28
Rockwall,Texas,2020-03-26
Robertson,Texas,2020-03-25
Roberts,Texas,2020-04-16
Refugio,Texas,2020-05-04
Reeves,Texas,2020-05-08
Red River,Texas,2020-04-16
Randall,Texas,2020-03-27
Rains,Texas,2020-04-10
Potter,Texas,2020-03-21
Polk,Texas,2020-03-29
Shelby,Texas,2020-03-27
Smith,Texas,2020-03-13
Parmer,Texas,2020-04-19
Starr,Texas,2020-03-27
Webb,Texas,2020-03-18
Washington,Texas,2020-03-28
Waller,Texas,2020-03-29
Walker,Texas,2020-03-25
Victoria,Texas,2020-03-24
Van Zandt,Texas,2020-03-19
Val Verde,Texas,2020-03-26
Uvalde,Texas,2020-03-27
Upshur,Texas,2020-03-20
Tyler,Texas,2020-04-04
Trinity,Texas,2020-04-04
Travis,Texas,2020-03-13
Tom Green,Texas,2020-03-25
Titus,Texas,2020-04-03
Terry,Texas,2020-03-25
Taylor,Texas,2020-03-27
Tarrant,Texas,2020-03-10
Swisher,Texas,2020-03-29
Stephens,Texas,2020-04-10
Pecos,Texas,2020-04-06
Parker,Texas,2020-03-24
Kleberg,Texas,2020-03-29
Maverick,Texas,2020-03-25
Mason,Texas,2020-04-04
Martin,Texas,2020-03-26
Marion,Texas,2020-04-16
